rank,team,conf,record,adjoe,oe Rank,adjde,de Rank,barthag,rank,proj. W,Proj. L,Pro Con W,Pro Con L,Con Rec.,sos,ncsos,consos,Proj. SOS,Proj. Noncon SOS,Proj. Con SOS,elite SOS,elite noncon SOS,Opp OE,Opp DE,Opp Proj. OE,Opp Proj DE,Con Adj OE,Con Adj DE,Qual O,Qual D,Qual Barthag,Qual Games,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,Conf Win%,WAB,WAB Rk,"Fun Rk, adjt"
11,Stanford,P10,28-8,113.47921116047334,33,90.72618661908753,9,0.9291296872444336,11,28,8,13,5,13-5,0.6847311103069642,0.41493319142703217,0.7997019630648305,0.6847311103069642,0.41493319142703217,0.7997019630648305,0.6635407696437452,0.8843467527034611,108.42128610438166,98.59504729625664,108.42128610438166,98.59504729625664,111.36444268703686,89.11642379008002,120.25342521563825,97.43788620451821,0.91829790778452,17,0.05724982940954293,1218.0,1128.0,1161.2499999999998,1.0488697524219592,0.9713670613562972,0,0.7222222222222222,6.6983588633076865,10,45,63.46579589796856
12,Marquette,BE,25-10,114.81810878267842,23,91.97740395795151,18,0.9276253726385781,12,25,10,11,7,11-7,0.6563059993276014,0.40249491459163145,0.7764343276898692,0.6563059993276014,0.40249491459163145,0.7764343276898692,0.6883020887540986,0.8248985379011108,107.40519625073614,98.39003592933014,107.40519625073614,98.39003592933014,112.0164351711225,91.86450646336205,120.21020598920842,99.9590976302753,0.8929782132556799,15,-0.025072504156940956,1330.0,1232.0,1253.15,1.0613254598412,0.9831225312213222,0,0.6111111111111112,3.8356148545203532,22,223,66.87481447370432
13,Clemson,ACC,24-10,113.90354537451876,30,91.32577066188313,12,0.9269373261937723,13,24,10,10,6,10-6,0.6931275271878812,0.5064429752031326,0.8147759528393674,0.6931275271878812,0.5064429752031326,0.8147759528393674,0.6866813161282711,0.8303227484570231,109.08213655083777,98.53490496178698,109.08213655083777,98.53490496178698,114.26601236526601,91.93779530982822,115.39201065069823,97.04925743339246,0.8798319040866261,13,-0.032701911974847175,1245.0,1165.0,1162.5875,1.0708871375272828,1.0020751126259313,0,0.625,4.382786716135853,19,240,67.88525763387956
14,Davidson,SC,29-7,115.43222097808535,16,92.57051645939741,25,0.9267766046028268,14,29,7,20,0,20-0,0.5364891903075069,0.6582587972063373,0.40870841678871284,0.5364891903075069,0.6582587972063373,0.40870841678871284,0.7733006120604439,0.6366881630905585,104.04873396198798,100.65754309919156,104.04873396198798,100.65754309919156,110.84895945481473,92.91716012456249,137.15883479718897,103.96002698601859,0.9603433175993404,7,-0.004594120169801985,1597.0,1260.0,1384.525,1.153464184467597,0.9100594066557122,0,1.0,1.583566362280044,34,170,66.75652766512198
15,Tennessee,SEC,31-5,115.34893949135036,18,92.5188354722951,24,0.9266490677865366,15,31,5,14,2,14-2,0.6974701995503432,0.5942175699324486,0.7669652935784883,0.6974701995503432,0.5942175699324486,0.7669652935784883,0.6865828772442798,0.6972418254754061,108.8569238237011,98.5360257578993,108.8569238237011,98.5360257578993,115.5215179974978,91.33088748952213,119.81170904914323,98.44824075630684,0.9053804015782575,14,0.12173366660406004,1282.0,1110.0,1144.425,1.1202132075059528,0.9699193918343273,0,0.875,9.210225185446062,4,2,71.13504441289979
16,Xavier,A10,30-7,116.25263651282822,11,94.22908514582058,35,0.917995890354104,16,30,7,14,2,14-2,0.6667291003722293,0.6080854272015237,0.6530267890378484,0.6667291003722293,0.6080854272015237,0.6530267890378484,0.7400414157540461,0.7846404351495481,107.44432179623753,99.89270182957655,107.44432179623753,99.89270182957655,113.44651453008468,93.9189687828839,126.41240149956201,107.82846266008656,0.8615938184245441,12,0.037934422670974244,1144.0,996.0,1022.85,1.1184435645500317,0.973749816688664,0,0.875,4.7055766861454025,18,87,64.06597113052527
17,Michigan St.,B10,27-9,115.34630228852019,19,93.57925466963962,29,0.9172075857126357,17,27,9,12,6,12-6,0.695435517964476,0.5492442431325544,0.7444539317835439,0.695435517964476,0.5492442431325544,0.7444539317835439,0.6757818052778606,0.7758555738647844,107.90539659231209,97.8859737776091,107.90539659231209,97.8859737776091,111.50548249134029,92.41334583445364,129.69968680193378,105.23500413359888,0.9171162692250183,17,0.042576528340841246,1200.0,1101.0,1135.0625000000002,1.0572105060294035,0.9699906392819777,0,0.6666666666666666,5.082134904393195,13,72,63.63958400982324
18,Texas A&M,B12,25-11,112.80411762987028,38,92.06422450581601,20,0.9118482471428658,18,25,11,8,8,8-8,0.6693344028214399,0.43912014969466984,0.8210630764480481,0.6693344028214399,0.43912014969466984,0.8210630764480481,0.6867854882167673,0.8625202451617103,107.26971340781921,97.52423891840735,107.26971340781921,97.52423891840735,108.76209458903809,93.36913455536535,112.54788978918677,93.40003260425533,0.8951632685592864,14,-0.012428081663981683,1072.0,1067.0,1056.625,1.0145510469655743,1.0098189991718916,0,0.5,3.0484791296489764,26,190,62.092690475644794
19,West Virginia,BE,26-11,114.50730474543904,26,93.58347577200497,30,0.9105627127017171,19,26,11,11,7,11-7,0.6747322031049007,0.45664521211464043,0.7605152152203857,0.6747322031049007,0.45664521211464043,0.7605152152203857,0.6954515401585473,0.8612954407576598,107.72914673914039,98.4967070528564,107.72914673914039,98.4967070528564,112.88628731084322,93.59934293935699,120.8976308501717,100.65420595326721,0.8916215069388949,14,-0.011537881089353719,1260.0,1163.0,1173.6999999999998,1.073528158814007,0.9908835307148336,0,0.6111111111111112,2.6487939813332915,28,186,63.91885292857904
20,Kansas St.,B12,21-12,115.21163831593132,20,94.3577520744762,37,0.9085692617999741,20,21,12,10,6,10-6,0.6665477670602626,0.446014635309069,0.811987322187513,0.6665477670602626,0.446014635309069,0.811987322187513,0.6840318463474692,0.8379789057256252,107.39751465915352,97.86498568152751,107.39751465915352,97.86498568152751,119.15953052809594,93.94114903181026,122.12698899490096,102.18232458216507,0.8859961976796104,13,-0.062330895446316426,1242.0,1134.0,1123.5375000000001,1.1054370681886452,1.0093121057374586,0,0.625,1.0004017850021814,38,292,70.13631194951476
21,Drake,MVC,28-5,120.01723671850618,4,98.62665925517041,96,0.9052850783259982,21,28,5,15,3,15-3,0.5962583127211308,0.43327101762467907,0.6621328595473868,0.5962583127211308,0.43327101762467907,0.6621328595473868,0.7944409910812985,0.8443796163561459,104.44601423037956,99.14645730843243,104.44601423037956,99.14645730843243,117.8627555331704,101.16820155563073,121.54416754462076,103.91281627546626,0.8584339004483157,5,0.046268296523713004,1266.0,1150.0,1114.4250000000002,1.1360118446732619,1.0319222917648112,0,0.8333333333333334,5.204504240195998,12,65,62.761113740322
22,Purdue,B10,25-9,110.76787593440285,51,91.40205925425002,13,0.9011386840219903,22,25,9,15,3,15-3,0.6524986306545552,0.4773541715528961,0.7428582152570766,0.6524986306545552,0.4773541715528961,0.7428582152570766,0.7050449889463921,0.8034270713956716,105.56528779170978,97.92898725167836,105.56528779170978,97.92898725167836,112.68058242676767,89.5393994904907,120.46349668048936,97.3349799846003,0.9206831934782473,14,0.028894632229006345,1234.0,1097.0,1171.075,1.0537326815105779,0.9367461520397925,0,0.8333333333333334,3.7834647937739736,24,105,66.80376384963996
23,Pittsburgh,BE,27-10,116.92207948974841,7,96.78052185577864,67,0.8979097814701349,23,27,10,10,8,10-8,0.6789258543867127,0.4657259189312613,0.7728663845507113,0.6789258543867127,0.4657259189312613,0.7728663845507113,0.6793321206805542,0.8216426691960064,107.12782264176938,97.17071607825318,107.12782264176938,97.17071607825318,116.13297434197868,98.59673426339745,113.77867417034888,96.33984290212604,0.8713884306929215,16,0.054624320240850066,1270.0,1218.0,1163.8,1.091252792576044,1.046571575872143,0,0.5555555555555556,5.240206113282899,11,48,63.59699225566973
24,Connecticut,BE,24-9,115.60230547836798,15,95.85184951009418,58,0.8960931501049394,24,24,9,13,5,13-5,0.6710066346782193,0.5114680460256966,0.7736254278220089,0.6710066346782193,0.5114680460256966,0.7736254278220089,0.710719072939491,0.8012535789643963,107.08347102943164,98.60031531787163,107.08347102943164,98.60031531787163,117.74917944667595,96.27067774937744,132.13637229318195,106.24733434248868,0.9246830017533787,13,0.02384695527503078,1363.0,1256.0,1227.8499999999997,1.1100704483446677,1.0229262532068253,0,0.7222222222222222,4.339888625811956,21,114,67.31811775723328
25,Arizona,P10,19-15,116.14534839383336,12,96.40952851368385,63,0.894893420901077,25,19,15,8,10,8-10,0.7348286842485439,0.644413367234966,0.8036073070268975,0.7348286842485439,0.644413367234966,0.8036073070268975,0.6202985240376516,0.6803402604285803,110.08989466050208,96.31496973445576,110.08989466050208,96.31496973445576,115.90993733463297,97.25296521088424,118.73421570424277,98.01508381840402,0.9007253828480577,20,-0.05166617376322458,1248.0,1216.0,1151.6374999999998,1.083674333286299,1.0558878119199837,0,0.4444444444444444,1.4557953272096602,36,272,63.60839016215482
26,Gonzaga,WCC,25-8,113.41768135695591,35,94.14693641274631,34,0.8948752627902512,26,25,8,13,1,13-1,0.5595891161688776,0.6614604320255237,0.4128087590376644,0.5595891161688776,0.6614604320255237,0.4128087590376644,0.7754174312706072,0.6959281567216457,103.11604612772604,99.89412168419709,103.11604612772604,99.89412168419709,115.43212163469774,93.69024196547453,138.7778026598951,114.70878764536191,0.8993923420444919,10,-0.010489306688999611,1161.0,879.0,998.6875,1.1625258151323612,0.8801552037048627,0,0.9285714285714286,2.1855124246524404,32,185,66.66463747346029
27,Notre Dame,BE,25-8,115.36654654480085,17,95.98783654327393,60,0.8923303635913504,27,25,8,14,4,14-4,0.652521924077796,0.4087953056846476,0.7793854616249274,0.652521924077796,0.4087953056846476,0.7793854616249274,0.7102383034093938,0.8740415457486542,107.07461314745672,99.1978281416986,107.07461314745672,99.1978281416986,116.96789176235933,97.01895837945227,127.1307720122643,107.25454614938556,0.876004949508291,13,0.060086102841039435,1448.0,1364.0,1309.0749999999998,1.1061245535970057,1.0419571071176215,0,0.7777777777777778,4.365115104151469,20,40,68.85691749414086
28,Butler,Horz,30-4,114.9776969538529,22,95.72274731929673,54,0.8916537112727445,28,30,4,16,2,16-2,0.5869109752795144,0.6470838879392405,0.5182620711938833,0.5869109752795144,0.6470838879392405,0.5182620711938833,0.822275103724512,0.7831478387316756,103.42975103775609,99.67180620241844,103.42975103775609,99.67180620241844,108.88786626280027,95.12838930638058,124.9816324711849,100.50745661065076,0.9245788755704865,5,0.0722964206518455,1184.0,1019.0,1086.4875,1.0897502272230468,0.9378846972468621,0,0.8888888888888888,4.768478938362925,15,23,59.52672547001469
29,USC,P10,21-12,110.07485477141037,56,91.75964442845736,15,0.8902075034869115,29,21,12,11,7,11-7,0.71505719647888,0.5364593627021504,0.8041392459811438,0.71505719647888,0.5364593627021504,0.8041392459811438,0.6334128627155762,0.759153138832536,109.06195905361143,97.4976153369535,109.06195905361143,97.4976153369535,111.83369119078887,92.41218223068323,115.53586147277396,97.7885632918209,0.8719033376652093,16,0.0208317072935309,1260.0,1202.0,1191.675,1.0573352633897666,1.0086642750749995,0,0.6111111111111112,3.5798331390341933,25,124,65.72694826676202
30,Indiana,B10,25-8,114.78088159059033,24,95.78535313043385,56,0.8889957757197907,30,25,8,14,4,14-4,0.6649343599369709,0.5126531932742596,0.756965531372757,0.6649343599369709,0.5126531932742596,0.756965531372757,0.7214610291700712,0.8275229533022581,106.20034914694867,98.43913113081287,106.20034914694867,98.43913113081287,115.27528335863701,95.72406102614116,116.61357100621414,97.99182298140863,0.8808798546145743,13,0.055031350988453576,1283.0,1197.0,1192.7125,1.0756992988670782,1.0035947472672584,0,0.7777777777777778,4.729685270249888,17,47,66.77449776740903
31,New Mexico,MWC,24-9,110.37735270584426,54,92.434801861231,23,0.884945116411245,31,24,9,11,5,11-5,0.5577157052459083,0.4664497250151901,0.6128918611173556,0.5577157052459083,0.4664497250151901,0.6128918611173556,0.813469693400751,0.8631265061196002,103.42220118257873,101.09965450544611,103.42220118257873,101.09965450544611,111.5109163644919,94.0933672962299,101.40734489159998,97.3720826831697,0.6146660523301638,5,-0.06524445522132327,1167.0,1017.0,1070.2,1.0904503831059615,0.9502896654830872,0,0.6875,0.19571396382958717,47,298,64.46580275022937
32,Ohio St.,B10,24-13,109.32788148064782,68,91.93969067381826,16,0.879956069544649,32,24,13,10,8,10-8,0.6941148467958868,0.5939788963820293,0.7556497023330646,0.6941148467958868,0.5939788963820293,0.7556497023330646,0.6937002429074584,0.7216309569819107,108.10827240913197,98.61953529174238,108.10827240913197,98.61953529174238,108.71487849406032,90.83768371019003,113.89819387100789,99.52095969389332,0.8251695916030855,15,-0.010195172727255675,1174.0,1098.0,1152.65,1.018522535027979,0.9525875157246345,0,0.5555555555555556,0.3893392525278244,44,184,64.1673319625026
33,Virginia Tech,ACC,21-14,106.08998295898454,115,89.4045737119044,7,0.8773780118974045,33,21,14,9,7,9-7,0.6800068464989456,0.519947268814761,0.8015251723855252,0.6800068464989456,0.519947268814761,0.8015251723855252,0.7218979267962232,0.8321308697555411,107.71510034532565,99.0540893187117,107.71510034532565,99.0540893187117,103.38902231934297,90.00764040236498,108.1066300217364,96.64984034647638,0.783854269649325,10,-0.08439430956997551,1152.0,1156.0,1181.6250000000002,0.9749285940971119,0.9783137628266158,0,0.5625,-0.6132090458641095,62,325,65.88157169375249
34,Mississippi St.,SEC,23-11,108.50426958272143,74,91.96135283523608,17,0.8701564536595217,34,23,11,12,4,12-4,0.6611932879183411,0.49970730361100274,0.7619396461598983,0.6611932879183411,0.49970730361100274,0.7619396461598983,0.7439938017210292,0.8453156943374831,107.48909838950404,100.2120703874939,107.48909838950404,100.2120703874939,108.7931696938291,90.0636960883734,117.46787086226345,101.16887579721497,0.847844927210696,8,-0.018647354450445852,1159.0,1062.0,1100.5875,1.053073926425659,0.9649391802105692,0,0.75,0.5952796162476786,42,202,66.8473746721812
35,BYU,MWC,27-8,106.70718957939047,106,90.79567674953643,11,0.864945016048832,35,27,8,14,2,14-2,0.5505732851730668,0.4453551907954752,0.615435483372943,0.5505732851730668,0.4453551907954752,0.615435483372943,0.7826697827829848,0.8021978093270198,103.73257631502588,100.93417528108625,103.73257631502588,100.93417528108625,105.20474421968815,89.23951548079759,119.50959631812607,107.68973972032767,0.7681041764739621,9,0.03316352133241529,1125.0,987.0,1095.625,1.026811180832858,0.9008556759840274,0,0.875,2.5764285972102554,29,97,68.48589139700681
36,Nebraska,B12,20-13,107.75647061657222,86,92.03225953541275,19,0.8598383600955943,36,20,13,7,9,7-9,0.6315348121281228,0.3487224829706929,0.8112382916196126,0.6315348121281228,0.3487224829706929,0.8112382916196126,0.6967096179932002,0.8855238944002769,105.6805377755577,98.89628912610328,105.6805377755577,98.89628912610328,106.756099320275,93.29175237922846,109.57276511857289,96.74693672121599,0.8071562631221455,12,-0.03623364436859622,1016.0,1054.0,1033.2875,0.9832694192081102,1.0200452439422718,0,0.4375,-0.17393984393400186,57,247,61.436874790576745
37,Miami FL,ACC,23-11,112.2551976981397,41,96.02793858359755,61,0.8576075996961444,37,23,11,8,8,8-8,0.6487769945836468,0.3913913304670717,0.8274347709576644,0.6487769945836468,0.3913913304670717,0.8274347709576644,0.7113646169488227,0.8866918551591114,106.04014428314669,97.89418745256407,106.04014428314669,97.89418745256407,113.69275295136629,98.37709524867672,118.53577863986558,100.13335002802788,0.8743728545490669,13,0.028593675922346073,1196.0,1213.0,1130.9,1.0575647714209921,1.072597046600053,0,0.5,1.5982335721782646,33,106,66.01018168088663
38,Arkansas,SEC,23-12,111.50947944583287,47,95.43038493423444,51,0.8570124192325947,38,23,12,9,7,9-7,0.6816845914514426,0.525586318909864,0.7614734644119299,0.6816845914514426,0.525586318909864,0.7614734644119299,0.7245811717468734,0.8334768850162851,108.05749662178333,99.67844657633766,108.05749662178333,99.67844657633766,108.79402331386476,93.17158962208748,123.9877402709865,107.15169339019646,0.8426762972487608,10,0.000941668244002658,1156.0,1103.0,1108.85,1.0425215313162286,0.9947242638769898,0,0.5625,0.5576680849916917,43,164,66.86050778126823
39,Florida,SEC,24-12,116.05564680137644,13,99.75580797748921,112,0.8507457220946624,39,24,12,8,8,8-8,0.6039604283255546,0.3722210092507738,0.7743949035001672,0.6039604283255546,0.3722210092507738,0.7743949035001672,0.7729618612587327,0.8976671554684221,104.66784187965601,100.37211659938622,104.66784187965601,100.37211659938622,116.5237425995357,102.63930194285204,112.96390963705444,102.6036851467599,0.7514269334069151,9,-0.03888480042205422,1217.0,1208.0,1099.8374999999999,1.1065271005944062,1.098344073556321,0,0.5,-1.3203471945893797,70,249,64.82401486612513
40,Baylor,B12,21-11,116.5902759911933,9,100.53353914892293,127,0.8460572844953284,40,21,11,9,7,9-7,0.64244407692015,0.41372102122099985,0.8257723502403421,0.64244407692015,0.41372102122099985,0.8257723502403421,0.7098756507710979,0.859935248557609,106.23778990784699,98.18348791286418,106.23778990784699,98.18348791286418,117.22397009930512,98.89324757208573,122.11045877200793,103.50836373503013,0.8699646892041025,12,0.023476903327447673,1308.0,1292.0,1208.7,1.0821543807396377,1.0689170182841068,0,0.5625,1.4780937442476878,35,117,69.98340942283093
41,Oregon,P10,18-14,118.71594239633473,5,102.47686483310952,168,0.84443579589181,41,18,14,9,9,9-9,0.7090909344610656,0.5266745650467753,0.8093049611728341,0.7090909344610656,0.5266745650467753,0.8093049611728341,0.6472247161471503,0.7942043432236569,108.33498121833425,97.55125220222024,108.33498121833425,97.55125220222024,119.12889040418561,101.85128506678605,125.00242562442584,108.16521077303446,0.8407398937653228,18,0.0003064739194243993,1282.0,1273.0,1155.8374999999996,1.1091524543891338,1.1013658926968544,0,0.5,0.7581561980639846,39,166,66.34439293843984
42,Illinois,B10,16-19,106.74751931167927,104,92.18138973381541,21,0.8438481625899517,42,16,19,5,13,5-13,0.7223027105208265,0.6050453369999796,0.7856363866982394,0.7223027105208265,0.6050453369999796,0.7856363866982394,0.6718283511175782,0.7792305923743695,108.08235949884191,97.12599197052982,108.08235949884191,97.12599197052982,106.55919282356679,92.58203824027423,115.34510446863418,102.46961052043658,0.7959491571301773,17,-0.124931353972973,1116.0,1119.0,1127.5625,0.9897455795133308,0.992406185909872,0,0.2777777777777778,-4.029730471463455,110,339,61.644043280916925
43,UNLV,MWC,27-8,109.59352334971638,63,94.84784298825141,45,0.8404794475875524,43,27,8,12,4,12-4,0.5933086894836133,0.49960780524229526,0.6185316158201175,0.5933086894836133,0.49960780524229526,0.6185316158201175,0.7793920347344644,0.8410730343293851,104.34290962934777,99.00635848686973,104.34290962934777,99.00635848686973,106.55299049296673,94.52324371345787,120.10996163511638,102.54598716703853,0.860338904401002,8,0.07067209943503439,1064.0,983.0,1034.275,1.0287399386043363,0.9504242101955476,0,0.75,2.281640596104066,31,25,64.54604023435243
44,Syracuse,BE,21-14,112.53060676374362,40,97.46249489128354,74,0.8393247561985636,44,21,14,9,9,9-9,0.7058919431723271,0.6029764996095506,0.7792960345886598,0.7058919431723271,0.6029764996095506,0.7792960345886598,0.7217356075867124,0.8349924613377415,107.8250250192517,98.10207078786868,107.8250250192517,98.10207078786868,110.27492480438082,95.14596707781112,112.70683717056562,97.21661406414718,0.8455683396213376,11,-0.029484532548713416,1326.0,1302.0,1280.0625,1.0358869195840046,1.0171378350666471,0,0.5,-0.6336976971587008,63,231,70.23987410546593
45,Saint Mary's,WCC,25-7,108.21446862325638,78,93.84300606757229,32,0.8373519991477403,45,25,7,12,2,12-2,0.5006289931732122,0.5427308636095945,0.421153595566266,0.5006289931732122,0.5427308636095945,0.421153595566266,0.8240424921296438,0.7982306959666099,102.37919183460174,101.56390692670219,102.37919183460174,101.56390692670219,111.08714919042347,92.84509484827502,119.8781912331474,110.27891454973744,0.7230876115641125,6,0.024383939693887746,1062.0,834.0,939.6375,1.130223091351718,0.8875763259767729,0,0.8571428571428571,1.2651083674190673,37,111,66.67507114598034
46,Villanova,BE,22-13,108.56042478975604,73,94.41133494670493,38,0.8328450762923717,46,22,13,9,9,9-9,0.6953431652326867,0.4884295655445132,0.7823422005799883,0.6953431652326867,0.4884295655445132,0.7823422005799883,0.6874889932227937,0.8459824514852504,108.46237974533405,98.60942941255676,108.46237974533405,98.60942941255676,105.96172995974231,92.92041900847583,113.87118385763763,96.53322328346003,0.8698436465693696,15,0.04133786852235355,1245.0,1245.0,1239.8999999999999,1.0041132349383015,1.0041132349383015,0,0.5,0.34378744545997797,45,75,67.74236787264545
47,Oklahoma,B12,23-12,108.15572275061464,79,94.23186619753506,36,0.829891299578574,47,23,12,9,7,9-7,0.7004421055786085,0.526582261419456,0.8278117612481171,0.7004421055786085,0.526582261419456,0.8278117612481171,0.6615314404229428,0.7799919966216485,108.11723437711234,97.63904804406214,108.11723437711234,97.63904804406214,107.75155207040544,94.58760025705595,113.91329248442047,100.88558421048506,0.801656684946756,16,0.09486372230061835,1036.0,1061.0,1025.325,1.0104113329919782,1.0347938458537536,0,0.5625,2.779976355610541,27,8,63.448201795035075
48,Western Kentucky,SB,29-7,110.47703554404296,53,96.41409697189374,64,0.8271819517584634,48,29,7,16,2,16-2,0.46659709971153845,0.4554242142373466,0.4058399258321006,0.46659709971153845,0.4554242142373466,0.4058399258321006,0.8394144400416765,0.8134080847706816,102.64761095982992,102.37561147810696,102.64761095982992,102.37561147810696,106.96824029497714,94.81703515550616,131.45553470480564,113.76514243724024,0.840522863701163,5,0.0382842164660806,1376.0,1155.0,1243.35,1.1066875779145053,0.9289419712872482,0,0.8888888888888888,0.3103440322523231,46,86,67.95932867639866
