season,round,delta_adjoe,delta_adjde,delta_sos,seed_gap,delta_win_pct_last10,label
2008,0,-7.52602599013079,-4.907206254910221,-0.027876070340799086,0,0.09999999999999998,0
2008,1,9.925750190111984,13.939987105855977,0.3477339669488957,13,-0.4,1
2008,1,-14.501844584369763,-16.254392817647556,-0.3008034188661577,-15,0.09999999999999998,0
2008,1,-5.136783544520966,2.598107646018832,0.048509429418617356,5,0.19999999999999996,0
2008,1,-7.475433003451585,-3.785278321488434,0.006267572704892421,-5,0.0,0
2008,1,3.4035800097183824,6.225996165910502,0.04950440813636947,7,-0.30000000000000004,1
2008,1,-6.551723744211884,-3.458620906892321,-0.15183521071161732,-7,-0.09999999999999998,0
2008,1,-14.011695816656996,3.1260838346541675,-0.18665674760243672,-9,0.0,0
2008,1,5.822400056790457,-9.131479894672907,-0.010054553734405114,-5,-0.29999999999999993,0
2008,1,5.195653001566498,13.744809798373069,0.3347756462466624,11,-0.4,1
2008,1,-6.096928050479804,1.2685477562795597,-0.11876111764837305,1,0.4,0
2008,1,-26.206425888362602,-17.61434368181098,-0.38057291579167885,-15,-0.09999999999999998,0
2008,1,-2.8621145599089033,0.3113467815966402,-0.05558602137452939,-1,0.09999999999999998,0
2008,1,-16.953475566868164,-0.9541954518779505,-0.21382786956687927,-9,0.10000000000000009,0
2008,1,-1.6380436483943157,2.826052741678879,-0.06009648114364319,3,0.29999999999999993,1
2008,1,-3.3515810523333442,-16.322163040704936,-0.26539106811279106,-11,-0.09999999999999998,0
2008,1,12.36654966818088,1.3237172024125812,0.006456424421621865,11,0.30000000000000004,1
2008,1,-3.2714021447574453,0.354968196199394,0.016750231514471636,-1,-0.09999999999999998,1
2008,1,3.660198433552381,4.5958141082378035,0.1414853227245535,3,0.09999999999999998,1
2008,1,-2.0145396211294297,-1.5764199533489176,0.023099925861370774,3,-0.19999999999999996,0
2008,1,2.5408253708662016,19.664056500670867,0.2853487065792604,13,-0.09999999999999998,1
2008,1,-6.186395253827982,-15.740333678165342,-0.2671629404683939,-11,0.0,0
2008,1,16.77014643752979,16.806191336554278,0.29181728816789376,15,0.4,1
2008,1,4.040729074883316,-2.1849325160252846,0.1481480014104346,3,0.0,1
2008,1,-10.21167281361329,10.515511997873432,-0.04789764654272455,1,0.19999999999999996,1
2008,1,23.728282128506393,8.031173839650094,0.33455116044947436,15,0.19999999999999996,1
2008,1,-6.408506950436234,5.8992162316421,0.06815715251338084,5,0.19999999999999996,1
2008,1,-14.842223270024618,0.6768696704383785,-0.1386004676936996,-9,0.10000000000000009,1
2008,1,-4.47269560414847,-1.337292332022713,-0.1747553225770807,-9,0.10000000000000009,1
2008,1,9.161376177771245,12.726172418632629,0.28691097076562205,13,-0.09999999999999998,1
2008,1,-18.200280532891426,-8.84998103369061,-0.33166583386756954,-13,0.09999999999999998,0
2008,1,5.3431205847627155,3.0855642848217997,-0.0022156380448055124,7,0.09999999999999998,0
2008,1,-9.54020117446322,2.212562283276654,-0.12966121300959244,-7,0.20000000000000007,1
2008,2,12.474597997283624,8.4326186788402,0.10444079701087305,7,0.0,1
2008,2,-1.5757772012281919,3.2012671861390203,0.01650966357776329,-1,-0.19999999999999996,1
2008,2,1.3388976222050815,-1.2512173388640093,-0.028425110979362844,-3,0.09999999999999998,0
2008,2,4.073785025654999,4.393253167621978,0.017263925533918978,8,0.6,1
2008,2,1.286658951406281,-5.2799224564764415,-0.016209430749464127,-1,0.0,0
2008,2,2.0430275182526003,2.820523235863817,0.045558660718982624,5,-0.09999999999999998,0
2008,2,1.9429983577437469,-8.060842400388225,-0.015878810521782416,-8,-0.6,0
2008,2,-5.48476057842538,2.827025891570557,-0.014230469717674166,-3,-0.10000000000000009,0
