rank,team,conf,record,adjoe,oe Rank,adjde,de Rank,barthag,rank,proj. W,Proj. L,Pro Con W,Pro Con L,Con Rec.,sos,ncsos,consos,Proj. SOS,Proj. Noncon SOS,Proj. Con SOS,elite SOS,elite noncon SOS,Opp OE,Opp DE,Opp Proj. OE,Opp Proj DE,Con Adj OE,Con Adj DE,Qual O,Qual D,Qual Barthag,Qual Games,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,Conf Win%,WAB,WAB Rk,Fun Rk,adjt
11,Nebraska,B10,23-4,119.42917858419598,51,93.03029240816551,5,0.9464793404324991,11,26.027341479014034,4.9726585209859655,15.027341479014034,4.9726585209859655,4-Dec,0.6646217387053935,0.4144748548862236,0.836597721,0.6806866977424965,0.4144748548862236,0.8271032113134466,0.6702808086888399,0.8908802855721549,115.95844446465915,105.99884722246334,116.13675771898146,105.61448849460972,121.1425402944248,90.47874441385824,120.53747624832592,89.76223225533937,0.9673955475915691,12,0.084765836,1210,1049,1059.1875,1.142385082905529,0.9903817784858677,0.7891251712429409,0.75,6.550880979469246,7,26,66.85877530866365
12,Vanderbilt,SEC,21-6,124.85639715078716,18,97.67173055949186,20,0.9439510552021163,12,23.54032623777387,7.4596737622261315,10.540326237773868,7.4596737622261315,6-Aug,0.6914388787748471,0.5310733062390679,0.8403497675580706,0.7140539962461337,0.5310733062390679,0.8462067168067925,0.6660496855992205,0.8028805198957103,116.50479276322292,106.30357666211476,117.02777049115217,105.62305177218896,123.03229929216016,98.67734422991391,128.1437227855335,97.43249177667323,0.9589448115653714,14,-0.009915979,1130,1071,975.0875000000002,1.1588703577884034,1.098362967,0.8667060391773189,0.5714285714285714,4.515165347824928,21,203,69.50208094123698
13,Tennessee,SEC,20-7,122.31240646195496,31,95.95144251951794,16,0.9422129482283047,13,22.77515982272778,8.224840177272215,12.775159822727787,5.224840177272216,4-Oct,0.6885926818321658,0.5142692652069355,0.8504644258413083,0.7110071874596015,0.5142692652069359,0.8530956868643043,0.628945265,0.7378811207243764,117.7984695825672,106.60760606750551,118.3264318026253,106.12109715218926,121.9101252208004,96.51400020896936,121.22563806434057,95.99103872388557,0.936081013,15,0.016462366598196443,1093,1035,957.4,1.1416335909755588,1.0810528514727387,0.8623051004447904,0.7142857142857143,4.5650368346145935,20,138,65.48186372509144
14,Kansas,B12,20-7,121.36574176656588,37,95.39096402820265,11,0.9410044064986145,14,22.272592743727397,8.727407256272606,12.272592743727396,5.7274072562726035,4-Oct,0.7622863464205551,0.6885602464589796,0.8307462963848752,0.7729928343594912,0.6885602464589794,0.8339719256209716,0.6015148543688245,0.6676474307381471,117.20569708343122,102.60473218533053,117.69784431328569,102.1515627879835,122.5710279331038,97.95322802734628,121.70581737717596,98.51881046376909,0.9191335168277729,13,0.025783713698832922,1091,1030,966.8625000000001,1.1283920929811633,1.0653014260042146,0.8452616279473093,0.7142857142857143,5.403076229919181,15,117,66.95190851535355
15,Gonzaga,WCC,27-2,121.26772328113896,38,95.39275301642286,12,0.9404743973964653,15,28.47637249672448,2.5236275032755215,16.47637249672448,1.5236275032755215,15-1,0.6111195650123231,0.6239667148808223,0.6006812557441676,0.6134603974203332,0.6239667148808223,0.6058725014766471,0.7657231525148975,0.7301492311737274,113.34599452755653,107.40229228915818,113.34274512868376,107.19098307435065,119.05693705273885,95.71449232190733,122.89272077371535,94.24792411460912,0.954864671,8,0.090843283,1317,1059,1115.8625000000002,1.1802529433509952,0.949041661,0.6474024673364818,0.9375,6.487172828457062,8,19,69.31607729752375
16,Michigan St.,B10,22-5,119.98289697171933,47,94.3902548,8,0.9404185515359538,16,23.84556077056289,7.154439229437111,13.845560770562889,6.154439229437111,4-Dec,0.7127607123100955,0.5664361517346868,0.8133588477056883,0.7291800431631652,0.5664361517346868,0.8186891834488279,0.6359621949004615,0.7778463715351399,117.55488974193855,105.49628711381636,118.47135574445211,104.76597139996632,119.92889716300965,93.27031028447415,119.77379571680639,91.94317632365404,0.9543920802284227,14,0.055181639,1215,1053,1058.45,1.1479049553592517,0.9948509613113514,0.8400105264213857,0.75,5.884967847184667,11,64,65.53719458516277
17,Louisville,ACC,20-8,125.17383345349145,16,98.67646970909038,27,0.9390808849878801,17,21.98076516455589,9.019234835,10.98076516455589,7.0192348354441085,6-Sep,0.6860172659542492,0.5608489493132196,0.7944964737098084,0.7009898931141647,0.5608489493132196,0.8022027969704031,0.6568406495773383,0.7464311029608334,115.01610116638146,104.5159505045351,115.30202750410905,104.16202513191575,124.42307521005691,98.86033498436163,122.67037048494299,98.67877982213444,0.924334768,14,-0.033557048,1237,1126,1058.2625,1.1688971309103364,1.064008221022667,0.8407344132733764,0.6,3.306188552012959,25,255,70.09019451762894
18,Virginia,ACC,24-3,122.34425344693739,30,96.59846507101652,18,0.938032448,18,26.673415629230178,4.326584370769822,14.673415629230178,3.326584370769822,2-Dec,0.6226855919923818,0.45877759525288886,0.7748858746790539,0.6501619725372301,0.45877759525288886,0.7883840227981431,0.7238881945522002,0.8426861808490501,113.56142577089786,107.72177795850958,114.4338276675734,106.88251989317304,120.74444997597546,94.14478876,122.00390538562569,93.96292512484837,0.9527210412133318,9,0.075987616,1099,972,966.725,1.1368279500374978,1.0054565672761127,0.8356275412149559,0.8571428571428571,5.780712708360685,13,36,65.42423072440637
19,St. John's,BE,22-5,120.56956922120926,41,96.10221846422498,17,0.9313981295195525,19,24.58885880646718,6.411141193532826,17.588858806467176,2.4111411935328255,15-1,0.6978726311089775,0.6137343815534613,0.755717678,0.7153376778840653,0.6137343815534609,0.7712194908658978,0.704464591,0.7528438703343782,115.13640306101668,105.43410639102261,115.34560380851855,104.6355817970977,120.50553408024616,95.12808291,121.69180573619788,97.98016168654341,0.9236042318886714,8,0.027624273679140554,1314,1130,1137.2749999999999,1.1553933745136402,0.99360313,0.8332267436159086,0.9375,4.589181803317698,18,115,69.89744605487587
20,Alabama,SEC,20-7,129.56787548608946,3,103.39767688538069,69,0.9305169477619734,20,22.50919368,8.490806321733405,12.509193678266595,5.490806321733405,4-Oct,0.773349338,0.6962248438859621,0.8449649401824598,0.7823238172638739,0.6962248438859618,0.8445064091479211,0.5982810993500908,0.6414103406042336,119.47731434148075,104.02357771018484,119.70999853237034,103.84864935660069,126.87298602224512,103.30512802761459,129.45169168619967,105.15310480360104,0.9161183721442597,16,0.068271895,1272,1204,1057.3,1.203064409344557,1.1387496453229926,0.8429015505270357,0.7142857142857143,5.848265317772751,12,45,73.17384292487367
